IMDBID	TITLE
tt9100054	The Lost Daughter
tt15339848	Lead Me Home
tt20215392	Le pupille
tt16379454	The Martha Mitchell Effect
tt15026956	How Do You Measure a Year?
tt0058099	The Finest Hours
tt0278378	By Courier
tt0922627	Il supplente
tt0051712	Arms and the Man
tt0054634	Aquamania
tt21113540	El Conde
tt12889404	Cyrano
tt1877830	The Batman
tt9051908	Living
tt8097030	Turning Red
tt10189300	Lunana: A Yak in the Classroom
tt16227014	Fire of Love
tt15109082	The Quiet Girl
tt3704428	Elvis
tt19770238	Aftersun
tt9660502	Close
tt5151570	Mrs. Harris Goes to Paris
tt15339456	Marcel the Shell with Shoes On
tt9288046	The Sea Beast
tt8129806	To Leslie
tt7322224	Triangle of Sadness
tt11813216	The Banshees of Inisherin
tt11564570	Glass Onion
tt15301048	Argentina, 1985
tt14208870	The Fabelmans
tt16377862	All That Breathes
tt10192406	Causeway
tt14176542	Bardo: False Chronicle of a Handful of Truths
tt14402146	Empire of Light
tt21374850	All the Beauty and the Bloodshed
tt10640346	Babylon
tt19652910	EO
tt21688772	To Kill a Tiger
tt16377920	A House Made of Splinters
tt13238346	Past Lives
tt6791350	Guardians of the Galaxy Vol. 3
tt9362722	Spider-Man: Across the Spider-Verse
tt15789038	Elemental
tt1462764	Indiana Jones and the Dial of Destiny
tt26612950	The Teachers' Lounge
tt9603212	Mission: Impossible - Dead Reckoning Part One
tt19500164	Nimona
tt14454876	Golda
tt24082488	The Eternal Memory
tt11858890	The Creator
tt14225838	Io Capitano
tt2234003	Calvary
tt2246887	Back in the Day
tt2239832	Think Like a Man Too
tt2190838	Stage Fright
tt2194326	History of the Eagles
tt2203308	Aashiqui 2
tt2215113	Winter Nomads
tt2184287	Summer in February
tt2226495	Not Safe for Work
tt2210479	Berserk: The Golden Age Arc I - The Egg of the King
tt2205501	Room 514
tt2182972	Song One
tt2256867	The Last Movie
tt2184207	Inara, the Jungle Girl
tt2234543	A Castle in Italy
tt2217895	4 Minute Mile
tt2224317	Robber
tt2173024	Deranged
tt2171993	Nightfall
tt2186715	Cold War
tt2299842	Pieta
tt2167895	Southwest
tt2226301	Big Love
tt2187474	The Ventriloquist
tt2213938	In Search of Blind Joe Death: The Saga of John Fahey
tt2194492	Blues Story
tt2190180	The Sound and the Shadow
tt2186783	Battle Ground
tt2216856	The Hidden Child
tt2186848	Landmine Goes Click
tt2218988	Ustad Hotel
tt2190483	Living
